event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SYR15971,2017-11-11,2017,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-),,External/Other forces,Civilians (Syria),,Civilians,External/Other forces-Civilians,Civilian targeting,760,Middle East,Syria,Deir ez Zor,Abu Kamal,Susat,Marashdeh,34.5043,40.9291,1,SOHR,Other,"Russian warplanes carried out raids on the al-Safafiyyah area and the villages and towns of al-Abbas, Sbikhan, and Abu Hamam. Russian warplanes also struck Al-Marashdah while Iraqi Popular Mobilization Unit fighters shelled the village of Al-Sekkariyyeh which resulted in 26 fatalities. Except for Abbas and Abuy Haman, each allocated 5, all events were allocated 4 fatalities.",4,,1720478199
IRN2537,2018-08-24,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Khuzestan,Shush,Central,Shush,32.1942,48.2436,2,Human Rights Activists in Iran (HRA),Local partner-Other,"On 24 August 2018, workers at Haft Tapeh Sugarcane Factory, located outside Shush, continued their protest against 2 to 3 months of unpaid salaries.",0,,1669674898
PSE44537,2023-12-21,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Settlers (Israel),,Political militia,Civilians (Palestine),Farmers (Palestine),Civilians,Political militia-Civilians,,275,Middle East,Palestine,West Bank,Bethlehem,,Neve Daniel,31.6763,35.1436,2,PLO Negotiations Affairs Department,Other,"Property destruction: On 21 December 2023, Israeli settler bulldozers razed 15 dunams, demolished supporting walls, and uprooted over 1000 olive and almond trees on Palestinian-owned lands in Al Thaghra area near the Neve Daniel settlement (Bethlehem, West Bank).",0,,1716328154
IRN12881,2022-01-26,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,West Azerbaijan,Urumia,Central,Orumiyeh,37.5527,45.0761,1,Manoto,International,"On 26 January 2022, furniture makers and sellers protested at a furniture exhibition in Orumiyeh city (West Azerbaijan) arguing that displaying and importing non-locally produced goods would harm their business.",0,crowd size=no report,1643657315
SYR49907,2018-12-02,2018,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,HTS: Hayat Tahrir al Sham,,Rebel group,,,,Rebel group only,,760,Middle East,Syria,Aleppo,Jebel Saman,Hadher,Al-Eis,35.9933,37.0033,2,Liveuamap,Local partner-New media,HTS detonated a bridge that links al-Eis with Hadher in southern Aleppo countryside.,0,,1720478406
PSE608,2017-06-07,2017,1,Strategic developments,Strategic developments,Change to group/activity,Settlers (Israel),,Political militia,,,,Political militia only,,275,Middle East,Palestine,West Bank,Salfit,,Khirbat Shahadah,32.1519,35.0969,1,Ma'an News Agency,National,Movement of forces: A group of armed settlers from Israel's Nufim settlement erected an outpost on Tuesday on Palestinian lands in the Khirbet Shihada area in the eastern outskirts of the village of Deir Istiya.,0,,1651165043
IRQ17193,2016-08-03,2016,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,Political militia,Civilians (Iraq),,Civilians,Political militia-Civilians,Civilian targeting,368,Middle East,Iraq,Baghdad,Al Mahmoudiya,Al Yousifya,Al Latifiyah,33.0242,44.1785,2,Al Maloomah,National,"On 3 August 2016, five civilians were wounded by the explosion of an IED planted near car park in the area of Latifiya.",0,,1651182386
SYR105926,2022-09-21,2022,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,External/Other forces,QSD: Syrian Democratic Forces,,Rebel group,Rebel group-External/Other forces,,760,Middle East,Syria,Al Hasakeh,Quamishli,Qahtaniyyeh,Tall Ziwan,37.0583,41.3552,1,SHAAM,National,"On 21 September 2022, Turkish forces shelled QSD positions in Tall Ziwan town in Al Hasakeh countryside with artillery. Casualties unknown.",0,,1720478937
SYR97465,2021-12-16,2021,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Syria),,Political militia,Civilians (Syria),,Civilians,Political militia-Civilians,Civilian targeting,760,Middle East,Syria,Dara,Dara,Mzeireb,Tafas,32.7362,36.0673,2,Facebook; SHAAM; SNHR; SOHR,Local partner-Other,"Around 16 December 2021 (as reported), a man's body was found with gunshot marks in farmlands in the vicinity of Tafas town in Dara countryside, killed by unknown gunmen who left a message on the body indicating that he was a drug dealer.",1,,1720478767
SYR133136,2024-09-07,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Al Fath Al Mubeen Operation Room,,Rebel group,Military Forces of Syria (2000-),,State forces,State forces-Rebel group,,760,Middle East,Syria,Idleb,Al Mara,Maarrat An Numan,Al-Dana,35.6997,36.6874,1,SOHR,Other,"On 7 September 2024, Al Fath Al Mubeen Operation Room shelled regime forces positions in Al-Dana town in Idleb countryside with artillery. Casualties unknown.",0,,1726526153
SYR103368,2022-07-22,2022,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,Military Forces of Syria (2000-),QSD: Syrian Democratic Forces,State forces,State forces-External/Other forces,,760,Middle East,Syria,Aleppo,Ain Al Arab,Lower Shyookh,Zur Maghar,36.8346,38.0347,1,Facebook; SHAAM; SOHR,Other-New media,"On 22 July 2022, a Turkish drone conducted an airstrike targeting the vicinity of a regime point and QSD positions in Zur Maghar town and its vicinity in Aleppo countryside with two rockets, killing and injuring an unknown number of regime and QSD members. fatalities coded to 10.",10,,1720478842
IRQ50438,2023-12-05,2023,1,Strategic developments,Strategic developments,Looting/property destruction,PKK-YJA STAR: Kurdistan Workers Party-YJA STAR,,Rebel group,Military Forces of Turkey (2016-),,External/Other forces,Rebel group-External/Other forces,,368,Middle East,Iraq,Duhok,Al Amadiya,Markaz Al Amadiya,Gire Amediye,37.1134,43.511,2,ANF News,International,"Property destruction: On 5 December 2023, PKK-YJA STAR militants destroyed a camera device installed by Turkish army soldiers in Gire Amediye area of Al Amadiya district, Duhok.",0,,1730764843
PSE40277,2023-11-06,2023,1,Political violence,Riots,Mob violence,Rioters (Palestine),,Rioters,Military Forces of Israel (2022-),,External/Other forces,Rioters-External/Other forces,,275,Middle East,Palestine,West Bank,Bethlehem,,Tuqu,31.6365,35.2145,1,Palestine News and Information Agency,National,"On 6 November 2023, Palestinian rioters clashed with Israeli forces during an Israeli raid in Tuqu town (Bethlehem, West Bank). Israeli forces fired live bullets, stun grenades, and tear gas canisters. The forces also fired tear gas in the western part of the town at Palestinian farmers harvesting olives. There were no casualties.",0,crowd size=no report,1716328149
LBN8415,2021-03-06,2021,1,Demonstrations,Riots,Violent demonstration,Rioters (Lebanon),,Rioters,,,,Rioters only,,422,Middle East,Lebanon,Mount Lebanon,Al Matn,,Jal el Dib,33.9089,35.5819,1,Murr TV,National,"On 6 March 2021, nationwide demonstrations broke out for the fifth day after the Lebanese currency hit a record low, further worsening economic and social conditions. Rioters blocked the main highway in Jal el Dib (Matn) with burning tires in both directions.",0,crowd size=no report,1727907805
